onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.000681	15.245378	trialstart	1	None	9	1	Reminder
15.245716	4.785745	ITI	1	None	9	1	Reminder
20.035139	17.086416	trialstart	2	None	15	2	Reminder
37.121524	2.444009	ITI	2	None	15	2	Reminder
39.569932	17.061643	trialstart	3	None	14	2	Reminder
56.631532	3.468771	ITI	3	None	14	2	Reminder
60.105044	14.603607	trialstart	1	None	13	1	Partial_Extinction
74.708631	4.926711	ITI	1	None	13	1	Partial_Extinction
79.638478	14.563597	trialstart	2	None	12	1	Partial_Extinction
94.202043	4.966696	ITI	2	None	12	1	Partial_Extinction
99.173837	14.321588	trialstart	3	None	11	1	Partial_Extinction
113.495381	6.208711	ITI	3	None	11	1	Partial_Extinction
119.708710	12.030507	trialstart	4	None	13	0	Partial_Extinction
131.739171	8.499726	ITI	4	None	13	0	Partial_Extinction
140.249499	14.398592	trialstart	5	None	12	1	Partial_Extinction
154.648027	5.631801	ITI	5	None	12	1	Partial_Extinction
160.285402	14.322526	trialstart	6	None	11	1	Partial_Extinction
174.607884	5.707814	ITI	6	None	11	1	Partial_Extinction
180.321071	11.987867	trialstart	1	CSplus	14	0	PIT
192.351830	8.512133	ITI	1	CSplus	14	0	PIT
200.864038	11.986997	trialstart	2	CSplus	16	0	PIT
212.894808	8.013003	ITI	2	CSplus	16	0	PIT
220.907889	11.986811	trialstart	3	CSplus	14	0	PIT
232.937970	7.513189	ITI	3	CSplus	14	0	PIT
240.455167	12.000026	trialstart	4	Baseline	4	0	PIT
252.497961	8.499974	ITI	4	Baseline	4	0	PIT
260.998012	11.998938	trialstart	5	Baseline	2	0	PIT
273.040956	8.001062	ITI	5	Baseline	2	0	PIT
281.042095	11.998777	trialstart	6	Baseline	1	0	PIT
293.084081	7.501223	ITI	6	Baseline	1	0	PIT
300.589432	11.995427	trialstart	7	CSminus	2	0	PIT
312.627445	8.504573	ITI	7	CSminus	2	0	PIT
321.132095	11.995745	trialstart	8	CSminus	0	0	PIT
333.170340	8.004255	ITI	8	CSminus	0	0	PIT
341.174675	11.995529	trialstart	9	CSminus	4	0	PIT
353.213573	7.504471	ITI	9	CSminus	4	0	PIT
360.726088	11.988302	trialstart	10	CSplus	23	0	PIT
372.756890	7.511698	ITI	10	CSplus	23	0	PIT
380.268661	11.988637	trialstart	11	CSplus	27	0	PIT
392.300204	8.011363	ITI	11	CSplus	27	0	PIT
400.311645	11.989203	trialstart	12	CSplus	22	0	PIT
412.343301	8.510797	ITI	12	CSplus	22	0	PIT
420.861060	11.999554	trialstart	13	Baseline	3	0	PIT
432.903049	7.500446	ITI	13	Baseline	3	0	PIT
440.403574	11.999883	trialstart	14	Baseline	0	0	PIT
452.446280	8.000117	ITI	14	Baseline	0	0	PIT
460.446474	12.000557	trialstart	15	Baseline	0	0	PIT
472.489483	8.499443	ITI	15	Baseline	0	0	PIT
480.995742	11.994553	trialstart	16	CSminus	1	0	PIT
493.032479	7.505447	ITI	16	CSminus	1	0	PIT
500.538002	11.995246	trialstart	17	CSminus	0	0	PIT
512.575748	8.004754	ITI	17	CSminus	0	0	PIT
520.580580	11.995815	trialstart	18	CSminus	0	0	PIT
532.618871	8.504185	ITI	18	CSminus	0	0	PIT
541.136975	11.998094	trialstart	19	Baseline	0	0	PIT
553.178541	8.501906	ITI	19	Baseline	0	0	PIT
561.680539	11.998767	trialstart	20	Baseline	0	0	PIT
573.721522	8.001233	ITI	20	Baseline	0	0	PIT
581.722859	11.999266	trialstart	21	Baseline	0	0	PIT
593.764765	7.500734	ITI	21	Baseline	0	0	PIT
601.272274	11.992713	trialstart	22	CSminus	1	0	PIT
613.308070	8.507287	ITI	22	CSminus	1	0	PIT
621.815437	11.993748	trialstart	23	CSminus	0	0	PIT
633.851038	8.006252	ITI	23	CSminus	0	0	PIT
641.857371	11.994847	trialstart	24	CSminus	0	0	PIT
653.894184	7.505153	ITI	24	CSminus	0	0	PIT
661.405982	11.988256	trialstart	25	CSplus	23	0	PIT
673.437491	8.511744	ITI	25	CSplus	23	0	PIT
681.949310	11.989020	trialstart	26	CSplus	22	0	PIT
693.980507	8.010980	ITI	26	CSplus	22	0	PIT
701.991563	11.990082	trialstart	27	CSplus	18	0	PIT
714.023603	7.509918	ITI	27	CSplus	18	0	PIT
